"No.","Time","Source","Destination","Protocol","Length","Info"
"4249","32.143459648","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31242351 Win=1649792 Len=0 TSval=1862677824 TSecr=3603071361"
"4250","32.143445403","93.184.215.201","192.168.3.246","TCP","12668","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31242351 Ack=2012 Win=70144 Len=12600 TSval=3603071361 TSecr=1862677809"
"4251","32.143478547","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31254951 Win=1649792 Len=0 TSval=1862677824 TSecr=3603071361"
"4252","32.143496553","93.184.215.201","192.168.3.246","TCP","4268","[TCP Retransmission] 443  >  44046 [ACK] Seq=31254951 Ack=2012 Win=70144 Len=4200 TSval=3603071361 TSecr=1862677809"
"4253","32.143505779","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31259151 Win=1649792 Len=0 TSval=1862677824 TSecr=3603071361"
"4254","32.143998012","93.184.215.201","192.168.3.246","TCP","5668","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31259151 Ack=2012 Win=70144 Len=5600 TSval=3603071361 TSecr=1862677809"
"4255","32.144011740","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31264751 Win=1649792 Len=0 TSval=1862677825 TSecr=3603071361"
"4256","32.143998099","93.184.215.201","192.168.3.246","TCP","2868","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31264751 Ack=2012 Win=70144 Len=2800 TSval=3603071361 TSecr=1862677810"
"4257","32.144026895","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31267551 Win=1649792 Len=0 TSval=1862677825 TSecr=3603071361"
"4258","32.143998171","93.184.215.201","192.168.3.246","TCP","9868","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31267551 Ack=2012 Win=70144 Len=9800 TSval=3603071361 TSecr=1862677810"
"4259","32.144040108","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31287151 Win=1649792 Len=0 TSval=1862677825 TSecr=3603071361"
"4260","32.145803306","93.184.215.201","192.168.3.246","TCP","15468","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31287151 Ack=2012 Win=70144 Len=15400 TSval=3603071363 TSecr=1862677811"
"4261","32.145849419","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31302551 Win=1649792 Len=0 TSval=1862677827 TSecr=3603071363"
"4262","32.145911850","93.184.215.201","192.168.3.246","TCP","7068","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31302551 Ack=2012 Win=70144 Len=7000 TSval=3603071363 TSecr=1862677811"
"4263","32.145922924","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31309551 Win=1649792 Len=0 TSval=1862677827 TSecr=3603071363"
"4264","32.145911954","93.184.215.201","192.168.3.246","TCP","14068","[TCP Retransmission] 443  >  44046 [ACK] Seq=31309551 Ack=2012 Win=70144 Len=14000 TSval=3603071364 TSecr=1862677812"
"4265","32.145947528","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31323551 Win=1649792 Len=0 TSval=1862677827 TSecr=3603071364"
"4266","32.146973850","93.184.215.201","192.168.3.246","TCP","8468","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31323551 Ack=2012 Win=70144 Len=8400 TSval=3603071364 TSecr=1862677812"
"4267","32.146985905","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31331951 Win=1649792 Len=0 TSval=1862677828 TSecr=3603071364"
"4268","32.146973945","93.184.215.201","192.168.3.246","TCP","1468","[TCP Retransmission] 443  >  44046 [ACK] Seq=31331951 Ack=2012 Win=70144 Len=1400 TSval=3603071364 TSecr=1862677812"
"4269","32.147008363","192.168.3.246","93.184.215.201","TCP","68","44046  >  443 [ACK] Seq=2012 Ack=31333351 Win=1649792 Len=0 TSval=1862677828 TSecr=3603071364"
